City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
271,Samarai,PG,2022-04-11 01:14:27,-10.6167,150.6667,85.51,70,56,16.69
272,Tual,ID,2022-04-11 01:19:22,-5.6667,132.75,79.03,83,100,9.46
273,La Ronge,CA,2022-04-11 01:17:21,55.1001,-105.2842,21.42,79,75,17.27
274,Quelimane,MZ,2022-04-11 01:19:23,-17.8786,36.8883,71.04,99,71,5.79
275,San Cristobal,VE,2022-04-11 01:20:23,7.7669,-72.225,73.58,67,50,1.39
276,Conde,BR,2022-04-11 01:20:24,-7.2597,-34.9075,76.46,94,20,4.61
277,Zhezkazgan,KZ,2022-04-11 01:20:24,47.8043,67.7144,48.18,43,40,17.9
278,Saint-Francois,FR,2022-04-11 01:20:25,46.4154,3.9054,39.67,85,0,4.61
279,Benicarlo,ES,2022-04-11 01:20:26,40.4165,0.4271,51.91,87,82,5.68
280,Mareeba,AU,2022-04-11 01:20:26,-17.0,145.4333,84.67,85,45,7.67
281,Tikrit,IQ,2022-04-11 01:20:27,34.6071,43.6782,69.51,29,0,6.33
282,Begunitsy,RU,2022-04-11 01:20:27,59.5855,29.3176,30.6,91,4,9.04
283,Pinega,RU,2022-04-11 01:20:28,64.7001,43.3936,30.27,94,100,7.76
284,Peniche,PT,2022-04-11 01:20:27,39.3558,-9.3811,57.07,93,83,19.46
285,Changji,CN,2022-04-11 01:20:28,44.0167,87.3167,57.99,33,0,6.71
286,Vardo,NO,2022-04-11 01:20:29,70.3705,31.1107,34.39,100,100,16.49
287,Tinnanur,IN,2022-04-11 01:20:30,13.1114,80.0261,83.95,85,76,2.66
288,Bethel,US,2022-04-11 01:20:30,41.3712,-73.414,44.49,64,31,13.0
289,Hithadhoo,MV,2022-04-11 01:20:31,-0.6,73.0833,83.57,66,16,12.86
290,Dingle,PH,2022-04-11 01:20:31,10.9995,122.6711,72.21,96,100,15.03
291,Arari,BR,2022-04-11 01:20:32,-3.4536,-44.78,73.9,98,100,2.8
